Date,symbol,High,Low,Open,Close,Volume,Adj Close,return,SMA_5,SMA_15,SMA_ratio,SMA5_Volume,SMA15_Volume,SMA_Volume_Ratio,prev_close,TR,ATR_5,ATR_15,ATR_Ratio,prev_high,prev_low,+DM,-DM,+DM_5,-DM_5,+DM_15,-DM_15,+DI_5,-DI_5,+DI_15,-DI_15,DX_5,DX_15,ADX_5,ADX_15,Lowest_5D,High_5D,Lowest_15D,High_15D,Stochastic_5,Stochastic_15,Stochastic_%D_5,Stochastic_%D_15,Stochastic_Ratio,Diff,Up,Down,avg_5up,avg_5down,avg_15up,avg_15down,RS_5,RS_15,RSI_5,RSI_15,RSI_ratio,5Ewm,15Ewm,MACD,15MA,SD,upperband,lowerband,bb_bbm,bb_bbh,bb_bbl,bb_bbhi,bb_bbli
2021-01-01,HCLTECH.NS,955.5,942.0,942.0,950.5,3142822.0,900.5388793945312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.5,950.5,0.0,,,,,,,,0.0,0.0
2021-01-04,HCLTECH.NS,984.7000122070312,952.6500244140625,959.0,980.4000244140625,5259092.0,928.8672485351562,0.03145715351295375,,,,,,,950.5,34.20001220703125,,,,955.5,942.0,29.20001220703125,0.0,,,,,,,,,,,,,,,,,,,,,,29.9000244140625,29.9000244140625,0.0,,,,,,,,,,960.4666748046875,954.2375030517578,-6.2291717529296875,,,,,,,,0.0,0.0
2021-01-05,HCLTECH.NS,995.7999877929688,967.2000122070312,967.2000122070312,991.3499755859375,7150252.0,939.24169921875,0.011168860566297178,,,,,,,980.4000244140625,28.5999755859375,,,,984.7000122070312,952.6500244140625,11.0999755859375,0.0,,,,,,,,,,,,,,,,,,,,,,10.949951171875,10.949951171875,0.0,,,,,,,,,,970.7611083984375,958.8765621185303,-11.884546279907227,,,,,,,,0.0,0.0
2021-01-06,HCLTECH.NS,998.0,966.0999755859375,997.9000244140625,978.2000122070312,5995748.0,926.7828979492188,-0.013264703387049548,,,,,,,991.3499755859375,31.9000244140625,,,,995.7999877929688,967.2000122070312,2.20001220703125,0.0,,,,,,,,,,,,,,,,,,,,,,-13.14996337890625,0.0,13.14996337890625,,,,,,,,,,973.2407430013022,961.2919933795929,-11.94874962170934,,,,,,,,0.0,0.0
2021-01-07,HCLTECH.NS,988.2000122070312,959.4000244140625,988.0,962.5499877929688,5261000.0,911.9554443359375,-0.015998798015502635,972.6,,,5361782.8,,,978.2000122070312,28.79998779296875,,,,998.0,966.0999755859375,0.0,6.699951171875,,,,,,,,,,,,,942.0,998.0,,,36.69640677315848,,,,,-15.6500244140625,0.0,15.6500244140625,,,,,,,,,,969.6771579318579,961.4492426812649,-8.227915250593014,,,,,,,,0.0,0.0
2021-01-08,HCLTECH.NS,1003.5,970.0,974.9000244140625,994.6500244140625,8034775.0,942.3681640625,0.03334895540822336,981.4300048828125,,,6340173.4,,,962.5499877929688,40.95001220703125,32.89000244140625,,,988.2000122070312,959.4000244140625,15.29998779296875,0.0,11.55999755859375,1.339990234375,,,35.14745120249827,4.074156688684353,,,79.0,,,,952.6500244140625,1003.5,,,82.59590986237376,,,,,32.10003662109375,32.10003662109375,0.0,14.59000244140625,5.75999755859375,,,2.5329876085864633,,71.69534369241401,,,978.0014467592596,965.5993403978646,-12.402106361395,,,,,,,,0.0,0.0
2021-01-11,HCLTECH.NS,1059.050048828125,1008.0,1015.0,1055.0999755859375,13384331.0,999.640869140625,0.06077509645413759,996.3699951171875,,,7965221.2,,,994.6500244140625,64.4000244140625,39.192006835937505,,,1003.5,970.0,55.550048828125,0.0,20.3580078125,1.0719921875,,,51.94428521540397,2.7352316812647266,,,90.0,,,,959.4000244140625,1059.050048828125,,,96.03605391427273,,,,,60.449951171875,60.449951171875,0.0,20.69998779296875,5.75999755859375,,,3.593749403953299,,78.23128969248044,,,1003.7009563681522,976.7869197963737,-26.914036571778524,,,,,,,,0.0,0.0
2021-01-12,HCLTECH.NS,1065.050048828125,1038.699951171875,1052.0,1062.0999755859375,6700542.0,1006.2728271484375,0.006634442386478812,1010.5199951171875,,,7875279.2,,,1055.0999755859375,26.35009765625,36.623625000000004,,,1059.050048828125,1008.0,6.0,0.0,17.486406249999998,0.85759375,,,47.7462464461123,2.3416408124537096,,,91.0,,,,959.4000244140625,1065.050048828125,,,97.2076927965245,,,,,7.0,7.0,0.0,19.90999755859375,5.75999755859375,,,3.4565982634642975,,77.56136091067228,,,1023.167296107414,987.4510517700692,-35.71624433734485,,,,,,,,0.0,0.0
2021-01-13,HCLTECH.NS,1067.0,1041.0,1064.0,1055.949951171875,6691409.0,1000.4461669921875,-0.005790438334837278,1026.0699829101563,,,8014411.4,,,1062.0999755859375,26.0,34.498900000000006,,,1065.050048828125,1038.699951171875,1.949951171875,0.0,14.379115234374998,0.686075,,,41.67992380735326,1.9886865958045035,,,91.0,,,,959.4000244140625,1067.0,,,89.730435561949,,80.45329978165569,,,-6.1500244140625,0.0,6.1500244140625,19.90999755859375,4.360009765625,,,4.566502973357375,,82.03539987697408,,,1034.0948477955676,996.0134141952949,-38.0814336002727,,,,,,,,0.0,0.0
2021-01-14,HCLTECH.NS,1049.0,1006.5999755859375,1049.0,1027.699951171875,15021108.0,973.6809692382812,-0.026753161898107614,1039.0999755859375,,,9966433.0,,,1055.949951171875,49.3499755859375,37.469115117187506,,,1067.0,1041.0,0.0,34.4000244140625,11.503292187499998,7.4288648828125,,,30.700730859329283,19.826635509213816,,,22.0,,74.6,,970.0,1067.0,,,59.48448574420103,,85.0109155758642,,,-28.25,0.0,28.25,19.90999755859375,6.8800048828125,,,2.8938929401536524,,74.31875977667377,,,1031.9632155876702,999.9742313173674,-31.988984270302808,,,,,,,,0.0,0.0
